fpl_hostname,fpl_letter,fpl_name,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_rade,fpl_dens,fpl_eqt
HD 47536,b,HD 47536 b,712.13,1.93,0.2,2330,12.6,6.4,
HD 48265,b,HD 48265 b,780.3,1.81,0.08,467.2101,13.6,1.02,
HD 4917,b,HD 4917 b,400.5,1.167,0.066,513.29545,13.5,1.15,
HD 49674,b,HD 49674 b,4.94737,0.06,0.09,31.783,6.2,0.733,
HD 50499,b,HD 50499 b,2482.7,3.86,0.23,543.47,13.5,1.21,
HD 50554,b,HD 50554 b,1293,2.353,0.501,1574.464,12.9,4.03,
HD 51608,b,HD 51608 b,14.0726,0.1059,0.09,12.77,3.62,1.48,
HD 51608,c,HD 51608 c,95.9446,0.3809,0.14,14.31,3.87,1.36,
HD 52265,b,HD 52265 b,119.27,0.52,0.27,384.5743,13.7,0.822,405
HD 5319,b,HD 5319 b,637.1,1.57,0.092,494.54348,13.5,1.1,
HD 5319,c,HD 5319 c,872.2,1.93,0.183,334.67499,13.8,0.7,
HD 55696,b,HD 55696 b,1827,3.18,0.705,1230.0021,13,3.08,
HD 5583,b,HD 5583 b,139.35,0.53,0.076,1837.0574,12.8,4.81,
HD 5608,b,HD 5608 b,779.9,1.911,0.056,534.27223,13.5,1.19,
HD 564,b,HD 564 b,492.3,1.2,0.096,104.88,12.5,0.295,
