loc_rowid,fpl_hostname,fpl_letter,fpl_name,fpl_orbper,fpl_bmasse,fpl_rade,fpl_eqt
2450,Kepler-275,c,Kepler-275 c,16.08813400,11.40000,3.380,
2451,Kepler-275,d,Kepler-275 d,35.67606200,11.10000,3.330,
2452,Kepler-276,b,Kepler-276 b,14.12841000,8.60000,2.870,
2453,Kepler-276,c,Kepler-276 c,31.88400000,16.60000,2.900,
2454,Kepler-276,d,Kepler-276 d,48.64800000,16.30000,2.800,
2455,Kepler-277,b,Kepler-277 b,17.32400000,87.30000,2.920,
2456,Kepler-277,c,Kepler-277 c,33.00600000,64.20000,3.360,
2457,Kepler-278,b,Kepler-278 b,30.16054600,15.60000,4.070,
2458,Kepler-278,c,Kepler-278 c,51.07877500,12.60000,3.590,
2459,Kepler-279,b,Kepler-279 b,12.30968100,12.80000,3.620,
2460,Kepler-279,c,Kepler-279 c,35.73600000,49.40000,4.300,
2461,Kepler-279,d,Kepler-279 d,54.41400000,37.50000,3.100,
2462,Kepler-28,b,Kepler-28 b,5.91230000,479.90000,3.600,583
2463,Kepler-28,c,Kepler-28 c,8.98580000,432.23000,3.400,507
2464,Kepler-280,b,Kepler-280 b,2.13954200,2.70000,1.450,
2465,Kepler-280,c,Kepler-280 c,4.80709100,4.70000,2.010,
2466,Kepler-281,b,Kepler-281 b,14.64600800,8.35000,2.820,
2467,Kepler-281,c,Kepler-281 c,36.33737300,24.40000,5.310,
2468,Kepler-282,b,Kepler-282 b,9.22052400,1.01000,1.010,
2469,Kepler-282,c,Kepler-282 c,13.63872300,1.87000,1.200,
2470,Kepler-282,d,Kepler-282 d,24.80600000,61.00000,2.460,
2471,Kepler-282,e,Kepler-282 e,44.34700000,56.20000,3.100,
2472,Kepler-283,b,Kepler-283 b,11.00815100,5.18000,2.130,651
2473,Kepler-283,c,Kepler-283 c,92.74371100,3.97000,1.820,
2474,Kepler-284,b,Kepler-284 b,12.69914900,5.65000,2.240,
2475,Kepler-284,c,Kepler-284 c,37.51445600,7.32000,2.610,
2476,Kepler-285,b,Kepler-285 b,2.63386700,2.36000,1.340,
2477,Kepler-285,c,Kepler-285 c,6.18667600,1.46000,1.120,
2478,Kepler-286,b,Kepler-286 b,1.79630200,2.07000,1.240,
2479,Kepler-286,c,Kepler-286 c,3.46809500,2.45000,1.370,
2480,Kepler-286,d,Kepler-286 d,5.91432300,2.33000,1.330,
2481,Kepler-286,e,Kepler-286 e,29.22128900,3.78000,1.770,
2482,Kepler-287,b,Kepler-287 b,20.34219900,6.04000,2.330,
2483,Kepler-287,c,Kepler-287 c,44.85189600,10.70000,3.260,
2484,Kepler-288,b,Kepler-288 b,6.09732600,3.43000,1.670,
2485,Kepler-288,c,Kepler-288 c,19.30577200,8.50000,2.850,
2486,Kepler-288,d,Kepler-288 d,56.63374200,7.61000,2.670,
2487,Kepler-289,b,Kepler-289 b,34.54500000,7.30000,2.150,
2488,Kepler-289,c,Kepler-289 c,125.85180000,132.00000,11.590,
2489,Kepler-289,d,Kepler-289 d,66.06340000,4.00000,2.680,
2490,Kepler-29,b,Kepler-29 b,10.33840000,4.51000,3.350,
2491,Kepler-29,c,Kepler-29 c,13.28840000,4.00000,3.140,
2492,Kepler-290,b,Kepler-290 b,14.58934700,5.69000,2.250,
2493,Kepler-290,c,Kepler-290 c,36.77031000,7.75000,2.700,
2494,Kepler-291,b,Kepler-291 b,3.54651100,5.31000,2.160,
2495,Kepler-291,c,Kepler-291 c,5.70078600,4.19000,1.880,
2496,Kepler-292,b,Kepler-292 b,2.58082700,2.30000,1.320,
2497,Kepler-292,c,Kepler-292 c,3.71533500,2.76000,1.470,
2498,Kepler-292,d,Kepler-292 d,7.05567900,5.60000,2.230,
